이름*,맛,당도*,도수*,색상*,베이스*,레시피*,키워드,설명*,신맛내는거,,신맛내는거 포함 문자열
원 아일랜드,"상쾌한맛, 단맛, 부드러운맛",단맛,18,#d4cbbe,whisky,"아이리시 위스키, 크림 드 민트, 바닐라 아이스크림",,민트의 상쾌한 맛을 즐길 수 있는 여름 대상의 칵테일.,0,,
아이스 브레이커,"신맛, 단맛",중간 맛,19,#b07859,tequila,"테킬라, 코안트로, 그레이프 프루트 주스, 그레나덴 시럽",,분위기를 부드럽게 하는 뜻을 지닌 칵테일.,0,,
아카풀코,"부드러운맛, 신맛",중간 맛,11,#a98548,tequila,"테킬라, 화이트 럼, 파인애플 주스, 그레이프 프루트 주스, 코코넛 밀크",,코코넛의 맛이 독특한 향을 전해 준다.,0,,
아카풀코 골드,"단맛, 신맛",중간 맛,10,#b79854,tequila,"테킬라, 럼, 파인애플 주스, 크림 드 코코넛",,더운 날에 기운을 되찾아 주는 감칠맛이 있는 칵테일.,0,,
어스퀘이크(데킬라),"단맛, 신맛",단맛,20,#7a403f,tequila,"테킬라, 그레나덴 시럽, 딸기, 앙고스트라 비터",,딸기 맛이 맛있는 달콤한 칵테일.,1,,
아즈테카,"단맛, 신맛",단맛,15,#ce9d4c,tequila,"테킬라, 플레시 라임 주스, 설탕 가루, 망고",,망고의 달콤한 맛이 맛있는 프로즌 스타일.,1,,
아메리칸 리전 마르가리타,"쓴맛, 신맛",중간 쓴맛,25,#b3a27d,tequila,"테킬라, 코안트로, 레몬 주스, 라임 주스",,마르가리타를 마시기 쉬운 부드러운 감칠맛으로.,1,,
앰베서더,"신맛, 단맛",중간 맛,11,#d8a92a,tequila,"테킬라, 오렌지 주스, 설탕 시럽",,산뜻한 오렌지가 테킬라를 부드럽게.,1,,
에버 그린,"상쾌한맛, 신맛",중간 맛,11,#bfb570,tequila,"테킬라, 크림 드 민트 그린, 갈리아노, 파인애플 주스",,녹색이 아름다운 상큼한 맛.,0,,
엘 디아블로,신맛,중간 맛,11,#93493d,tequila,"테킬라, 크림 드 카시스, 진저 에일, 라임",,이름에 비해 맛이 상큼하다.,1,,
코코넛 데킬라,"단맛, 부드러운맛",중간 맛,20,#8a6f53,tequila,"테킬라, 레몬 주스, 코코넛 밀크, 마라스키노",,약간의 단맛이 맛있는 트로피컬 칵테일.,1,,
콘치타,"신맛, 단맛",중간 맛,16,#a39e8f,tequila,"테킬라, 그레이프 프루트 주스, 레몬 주스",,포도의 부드러운 달콤함 속에 레몬 향이.,1,,
실크 스타킹,"단맛, 부드러운맛",단맛,21,#d5a11c,tequila,"테킬라, 크림 드 카카오, 그레나덴 시럽, 플레시 크림",,식후에 디저트 대신에 권하고 싶은 달콤한 칵테일.,0,,
시클라멘,"신맛, 쓴맛",중간 맛,32,#7f6552,tequila,"테킬라, 코안트로, 오렌지 주스, 레몬 주스, 그레나덴 시럽",,아름다운 시클라멘 꽃을 연상한 칵테일.,1,,
슬로 데킬라,"신맛, 떫은맛",중간 맛,22,#bf9059,tequila,"테킬라, 슬로진, 레몬 주스",,성인 취향의 떫은 맛의 슬로진과 궁합이 뛰어나다.,1,,
차파라,"단맛, 신맛",단맛,9,#b2513d,tequila,"테킬라, 레몬 주스, 오렌지 주스, 그레나덴 시럽, 오렌지 플라워 워터",,테킬라를 느끼지 못하게 하는 과일 향.,1,,
데킬라 앤드 토닉,신맛,중간 맛,16,#bbb4bf,tequila,"테킬라, 토닉 워터",,간단한 레시피로 산뜻한 맛.,0,,
테키니,쓴맛,쓴맛,34,#806650,tequila,"테킬라, 드라이 베르무트",,마티니의 테킬라 파느 플레 디너 칵테일.,0,,
데킬라 아 라 멕시칸,쓴맛,쓴맛,40,#a7825f,tequila,테킬라,,차게 한 테킬라의 멕시코류의 작법.,0,,
데킬라 오렌지,"신맛, 단맛",중간 단맛,14,#be6400,tequila,"테킬라, 오렌지 주스",,"간단한 레시피로, 산뜻한 드링크.",1,,
데킬라 칵테일,"신맛, 단맛",중간 단맛,16,#935e2a,tequila,"테킬라, 플레시 라임 주스, 설탕 시럽, 그레나덴 시럽",,신선한 라임 향이 나는 프로즌 칵테일.,1,,
데킬라 선셋,신맛,중간 맛,5,#ac6c2c,tequila,"테킬라, 레몬 주스, 그레나덴 시럽",,멕시코 저녁 놀을 연상케 하는 프로즌 스타일.,1,,
데킬라 선라이즈,"신맛, 감칠맛",중간 맛,12,#bb7412,tequila,"테킬라, 오렌지 주스, 그레나덴 시럽",,감칠맛이 좋고 신선한 맛을 즐긴다.,1,,
데킬라 데이지,"신맛, 단맛",중간 맛,22,#856551,tequila,"테킬라, 플레시 라임 주스, 그레나덴 시럽",,신맛과 단맛이 나는 마시기 부드러운 시원한 칵테일.,1,,
두랑고,신맛,중간 맛,7,#ae8b47,tequila,"테킬라, 그레이프 프루트 주스, 아몬드 시럽",,목의 갈증을 해소하는 청량감 넘치는 칵테일.,0,,
판초 빌라,"커피맛, 쓴맛",중간 맛,21,#8d3b17,tequila,"테킬라, 티아 마리아, 코안트로",,커피콩이 글라스에 뜨는 여유로운 마음이 생기는 칵테일.,0,,
파카도르,"단맛, 커피맛",단맛,33,#4f1710,tequila,"테킬라, 칼루아",,달콤한 커피 맛의 테킬라 칵테일.,0,,
블러디 블,신맛,중간 맛,14,#4f1710,tequila,"테킬라, 레몬 주스, 토마토 주스, 비프 브이용",,토마토와 비프 브이용이 만들어내는 맛을 즐긴다.,1,,
프로스트바이트,"초콜릿맛, 단맛, 부드러운맛, 감칠맛",단맛,18,#8f8c8e,tequila,"테킬라, 크림 드 카카오 화이트, 생크림",,초콜릿 드링크와 비슷한 감칠맛이 좋은 칵테일.,0,,
프로즌 스트로베리,"단맛, 신맛",단맛,22,#812717,tequila,"테킬라, 리큐르 드 프레이즈, 딸기, 레몬 주스",,그 이름대로 딸기로 만든 칵테일.,1,,
프로즌 블루 마가리타,단맛,중간 맛,7,#347292,tequila,"테킬라, 블루 큐라소, 레몬 주스, 설탕",,보기에도 시원한 느낌의 여름 기분이 가득하다.,1,,
브로드웨이 서스트,"신맛, 단맛",중간 맛,16,#cfa000,tequila,"테킬라, 오렌지 주스, 레몬 주스, 설탕 시럽",,감귤계의 맛을 듬뿍 즐길 수 있는 드링크.,1,,
헤르메스,쓴맛,쓴맛,21,#a0735f,tequila,"테킬라, 크림 드 코바이, 라임 주스, 아니세트",,전령의 신 헤르메스의 이름을 딴 칵테일.,1,,
마타도르,"단맛, 신맛",단맛,12,#ad8000,tequila,"테킬라, 파인애플 주스, 플레시 라임 주스",,과일의 단맛과 신맛이 테킬라를 상큼하게.,1,,
마리아 데레사,신맛,중간 맛,20,#4b1012,tequila,"테킬라, 라임 주스, 크랜베리 주스",,의외로 산뜻한 신맛이 나는 어른 취향의 맛.,1,,
마르가리타,쓴맛,중간 맛,26,#b3ab95,tequila,"테킬라, 화이트 큐라소, 레몬 주스",,낭만적인 에피소드로 꾸준한 인기를 자랑한다.,1,,
멕시칸,"신맛, 감칠맛",중간 맛,17,#ad5b17,tequila,"테킬라, 파인애플 주스, 그레나덴 시럽",,감칠맛이 좋은 파인애플 주스가 맛을 좌우한다.,1,,
머킹버드,상쾌한맛,중간 맛,22,#527740,tequila,"테킬라, 페퍼민트 그린, 라임 주스",,녹색과 민트의 자극은 숲의 상쾌함을 표현.,1,,
라이징 선,쓴맛,쓴맛,31,#c6c4be,tequila,"테킬라, 샤르트뢰즈 옐로, 라임 주스, 슬로진",,글라스 속에서 새벽 놀의 태양을 볼 수 있다.,1,,
아도니스,쓴맛,중간 맛,16,#bc6e24,wine&champagne,"드라이 셰리, 스위트 베르무트, 오렌지 비터스",,셰리주의 고급스러움이 살아 있는 식전주의 대표격.,1,,
아딩톤,쓴맛,중간 맛,12,#b6621b,wine&champagne,"드라이 베르무트, 스위트 베르무트, 소다수",,두 종류의 베르쿠트에 의한 미묘하고 복잡한 맛.,0,,
아무르,쓴맛,중간 맛,18,#8c2e27,wine&champagne,"스위트 셰리, 드라이 베르무트, 앙고스트라 비터",,사랑이라는 이름에 어울리는 정열적인 색채의 칵테일.,0,,
아메리카노,"단맛, 쓴맛",중간 맛,9,#8b391b,wine&champagne,"스위트 베르무트, 캄파리, 소다수",,단맛과 쓴맛이 나는 식욕 증진 드링크.,0,,
아메리칸 레모네이드,"신맛, 단맛",중간 맛,3,#a9613d,wine&champagne,"붉은 와인, 레몬 주스, 설탕 시럽, 미네랑 워터",,알코올이 소량 들어 있는 여성 대상의 레모네이드.,1,,
위스턴 일렉트릭,"단맛, 쓴맛",중간 맛,20,#822926,wine&champagne,"브랜디, 메독 산 와인, 코안트로",,드라이 샴페인을 띄운 칵테일.,0,,
키르,쓴맛,중간 맛,11,#d6a629,wine&champagne,"드라이 화이트 와인, 크림 드 카시스",,와인 칵테일의 일품으로서 알려진 식전주의 스타.,0,,
키르 로열,신맛,중간 맛,12,#b66f14,wine&champagne,"샴페인, 크림 드 카시스",,샴페인의 미세한 기포가 파티의 분위기를 고조시킨다.,0,,
클라우드 버스터,"신맛, 쓴맛",중간 맛,22,#aa631d,wine&champagne,"보드카, 샴페인",,술맛에 이끌려 소란을 피우지 않도록.,0,,
코로네이션,쓴맛,중간 맛,16,#855a29,wine&champagne,"드라이 셰리, 드라이 베르무트, 오렌지 비터, 마라스키노",,오렌지 비터의 쓴맛이 효과적.,0,,
쉐리 트위스트,신맛,중간 맛,20,#ce8d00,wine&champagne,"드라이 셰리, 위스키, 오렌지 주스, 코안트로",,셰리와 위스키가 만드는 깊이가 있는 맛.,1,,
쉐리 플립,"감칠맛, 단맛, 쓴맛",중간 맛,9,#a5742c,wine&champagne,"드라이 셰리, 설탕 시럽, 계란 노른자",,느긋하게 시간을 즐기기 위하여 식후에 권장.,0,,
주얼리 박스,"신맛, 단맛",단맛,18,#a92123,wine&champagne,"화이트 포트, 루비 포트, 칼바도스, 레스 큐라소, 포도 주스",,2종류의 포트와인에 과일 맛이 더해진다.,1,,
샴페인 칵테일,신맛,중간 맛,12,#988481,wine&champagne,"샴페인, 각설탕, 앙고스트라 비터",,섬세한 맛을 즐기며 계속 마시고 싶은 칵테일.,0,,
샴페인 쥴렙,"상쾌한맛, 단맛",단맛,15,#826a3f,wine&champagne,"샴페인, 설탕 가루",,민트의 산뜻함과 샴페인이 넘어갈 때 상쾌하다.,0,,
심포니,"신맛, 단맛",단맛,14,#702820,wine&champagne,"흰 와인, 피치 트리, 그레나덴 시럽, 설탕 시럽",,복숭아의 신선한 맛과 향을 즐길 수 있다.,0,,
스프리처,신맛,쓴맛,5,#c6b38a,wine&champagne,"드라이 와인, 소다수",,흰 와인을 소다수로 희석한 가볍고 건강한 칵테일.,0,,
스마일링,"단맛, 쓴맛",중간 맛,13,#aa7f4b,wine&champagne,"차게 한 드라이 와인, 진저 에일, 브랜디",,적당히 단맛에 쓴맛이 섞인 중간 맛의 칵테일.,0,,
세레브레이션,신맛,중간 맛,13,#962016,wine&champagne,"스파클링 와인, 코냑, 크림 드 프랑부아즈",,인생의 새 출발에 어울리는 화려하고 품위 있는 칵테일.,0,,
솔 키스,"단맛, 신맛",단맛,12,#7a1f12,wine&champagne,"드라이 베르무트, 스위트 베르무트, 듀보네, 오렌지 주스",,와인계로 정리한 균형이 맞는 칵테일.,1,,
다이나마이트,"부드러운맛, 신맛",중간 맛,20,#b14e0c,wine&champagne,"그랑 마니에, 브랜디, 오렌지 주스, 샴페인",,"부드러운 맛과 아름다운 색채, 보기보다 알코올 도수가 강하다.",1,,
채플,"신맛, 단맛",중간 맛,18,#aa8858,wine&champagne,"샤르도네, 시트론 제니버, 워터멜론, 마라스키노",,과일 맛이 풍부한 식후용 칵테일.,0,,
버건디 칵테일,쓴맛,쓴맛,19,#5d261c,wine&champagne,"브루고뉴 와인, 브랜디, 마라스키노",,브루고뉴 산 와인을 칵테일 이름으로 한 칵테일.,0,,
바르보타주,"신맛, 단맛",중간 맛,6,#c55c09,wine&champagne,"오렌지 주스, 레몬 주스, 그레나덴 시럽, 샴페인",,레몬의 신맛이 나는 산뜻한 맛.,1,,
뱀부,쓴맛,쓴맛,16,#d0940e,wine&champagne,"드라이 셰리, 드라이 베르무트, 오렌지 비터",,식전의 가벼운 한 잔으로 적당한 산뜻하고 쓴맛의 칵테일.,1,,
피치 레이디,"단맛, 감칠맛",중간 맛,8,#9a4838,wine&champagne,"흰 와인, 피치트리, 스트로베리 시럽, 밀크",,어렴풋하게 연한 분홍색과 부드러운 감칠맛.,0,,
비숍,"신맛, 단맛",중간 맛,7,#7c191d,wine&champagne,"오렌지 주스, 레몬 주스, 설탕 가루, 브루고뉴 와인",,신맛이 나는 신선한 와인 맛의 칵테일.,1,,
푸스 라피에르,"쓴맛, 신맛",쓴맛,25,#62452e,wine&champagne,"아르마냑, 샴페인",,브랜디의 샴페인으로 희석한 특별한 날에 마시는 칵테일.,0,,
블랙 앤드 탠,단맛,단맛,23,#660a16,wine&champagne,"스위트 베르무트, 크림 드 카시스, 페르노",,페르노의 맛을 확실하게 맛볼 수 있다.,0,,
블랙 레인,"단맛, 쓴맛",중간 맛,17,#8a5307,wine&champagne,"샴페인, 블랙 삼브카",,인색한 남자를 가르키는 어른 취향의 검은 칵테일.,0,,
블랙 펄,"단맛, 커피맛",단맛,22,#402b24,wine&champagne,"티아 마리아, 브랜디, 샴페인",,달콤한 커피맛을 즐길 수 있다.,0,,
브로큰 스퍼,신맛,중간 맛,26,#aa6f29,wine&champagne,"포트와인, 드라이 진, 아니세트, 계란 노른자",,상큼함 아니세트의 맛을 즐길 수 있는 칵테일.,0,,
헤밍웨이,쓴맛,중간 맛,25,#c98e00,wine&champagne,"페르노, 샴페인",,문호 헤밍웨이가 고안한 페르노를 샴페인으로 희석한 것.,0,,
벨리니,"단맛, 신맛",단맛,9,#b85c01,wine&champagne,"스파클링 와인, 복숭아 넥타, 그레나덴 시럽",,최근에 유행하기 시작한 그림이 되는 칵테일.,0,,
베르무트 앤드 카시스,"단맛, 신맛",중간 맛,8,#8c5341,wine&champagne,"드라이 베르무트, 크림 드 카시스, 소다수",,프랑스를 대표하는 칵테일. 식전주로도 좋다.,0,,
포트 플립,단맛,단맛,8,#8f633c,wine&champagne,"포트와인, 브랜디, 설탕 시럽, 계란 노른자",,"너츠메그가 계란의 향을 없애서, 마시기 부드러운 영양이 충분한 술.",0,,
폼피에 데이지,상쾌한맛,중간 맛,7,#7a1412,wine&champagne,"드라이 베르무트, 크림 드 카시스, 소다수",,신선한 카시스의 맛을 충분히 즐길 수 있다.,0,,
미모사,"단맛, 신맛",중간 맛,7,#cc7300,wine&champagne,"샴페인, 오렌지 주스",,달콤하고 화려한 미각. 청량감이 뛰어나다.,1,,
루지타니아,쓴맛,중간 쓴맛,24,#8d652e,wine&champagne,"드라이 베르무트, 브랜디, 오렌지 비터, 페르노",,쌉쌀함과 독특한 향으로 식욕을 증진시키는 칵테일.,1,,
레글론,신맛,중간 맛,23,#8c5603,wine&champagne,"만다린 임페리얼, 드라이 샴페인",,오렌지의 맛과 향이 뛰어난 섬세한 맛을 즐길 수 있다.,1,,
로이 하워드,"신맛, 단맛",중간 단맛,18,#9f3127,wine&champagne,"릴레 블랑, 브랜디, 오렌지 주스, 그레나덴 시럽",,신선한 와인과 숙성한 브랜디의 조화.,1,,
로열 하이네스,"신맛, 쓴맛",중간 맛,21,#792e1c,wine&champagne,"모에 에 샨돈 블륫 임페리얼, 체리 마니에, 헤네시 VSOP, 플레시 라임 주스",,체리 마니에의 향과 샴페인의 맛이 조화를 이룬다.,1,,
로즈,쓴맛,중간 맛,22,#94431a,wine&champagne,"드라이 베르무트, 키르슈 왓사, 그레나덴 시럽",,우아한 장미색의 멋있는 작품.,0,,
워싱턴,단맛,중간 단맛,24,#ae5600,wine&champagne,"드라이 베르무트, 브랜디, 설탕, 앙고스트라 비터",,기품 있는 플래버가 식후의 충실감을 주는 칵테일.,0,,
와인 쿨러,신맛,중간 맛,12,#8e211e,wine&champagne,"로제 와인, 오렌지 주스, 그레나덴 시럽, 화이트 큐라소",,오렌지와 와인의 조화를 즐길 수 있는 청량감 있는 신선한 칵테일.,1,,
와인 코블러,신맛,중간 맛,10,#9a1c15,wine&champagne,"붉은 와인, 큐라소, 설탕 시럽",,청량감도 즐길 수 있는 더운 여름날에 적당한 칵테일.,0,,
애프터 디너,"단맛, 신맛",단맛,22,#b48813,liqueur,"아프리콧 브랜디, 오렌지 큐라소, 라임 주스",,두 종류의 리큐르를 사용한 식후주의 대표.,1,,
아프리콧 쿨러,"상쾌한맛, 신맛",중간 맛,7,#b17b33,liqueur,"아프리콧 브랜디, 레몬 주스, 그레나덴 시럽, 소다수",,외견상으로나 맛으로나 상쾌한 칵테일.,1,,
옐로 패롯,단맛,단맛,35,#d3b000,liqueur,"아프리콧 브랜디, 페르노, 샤르트뢰즈 옐로",,달콤한 맛이므로 너무 마시지 않도록 주의가 필요한 농후한 칵테일.,0,,
위도우즈 키스,"쓴맛, 신맛",중간 맛,33,#b67832,liqueur,"칼바도스, 베네딕틴, 샤르트뢰즈 옐로, 앙고스트라 비터",,칼바도스를 베이스로 한 풍만한 맛.,0,,
엔젤스 팁,"단맛, 부드러운맛",단맛,8,#764232,liqueur,"크림 드 카카오, 플레시 크림",,카카오의 향기로움과 생크림이 입안에서 혼합된다.,0,,
카카오 피즈,"초콜릿맛, 단맛",단맛,8,#846138,liqueur,"카카오 리큐르, 레몬 주스, 설탕, 소다수",,초콜릿과 같은 맛과 상큼함이 특징.,1,,
칼루아&밀크,"단맛, 부드러운맛",단맛,7,#b5b4c1,liqueur,"칼루아, 밀크",,비엔나 커피의 알코올 판.,0,,
캄파리 오렌지,신맛,중간 맛,8,#995d01,liqueur,"캄파리, 오렌지 주스",,저녁 식사에 인기가 있는 어른 대상의 칵테일.,1,,
키스 미 퀵,단맛,단맛,20,#cca915,liqueur,"페르노, 큐라소, 앙고스트라 비터, 소다수",,압생트의 향을 남긴 페르노 칵테일의 결정판.,0,,
쿠바 리브레 슈프림,단맛,단맛,12,#975f35,liqueur,"서던 컴포트, 플레시 라임, 콜라",,리큐르의 향이 콜라와 미묘하게 뒤섞였다.,1,,
키르슈 카시스,쓴맛,중간 맛,11,#9d3a2f,liqueur,"키르슈, 크림 드 카시스, 소다수",,향과 맛이 풍부한 어른 취향의 칵테일.,0,,
킹 알퐁소,"초콜릿맛, 부드러운맛, 단맛",단맛,20,#79706b,liqueur,"크림 드 카카오, 생크림",,차가운 초콜릿 드링크의 맛.,0,,
퀸 마니에,신맛,중간 맛,24,#9c3d2d,liqueur,"그랑 마니에 골든 루주, 체리 마니에, 화이트 럼, 플레시 레몬 주스, 그레나덴 시럽",,오렌지의 부드러운 맛.,1,,
쿨 바나나,"단맛, 부드러운맛",단맛,11,#90887e,liqueur,"크림 드 바나누, 큐라소, 생크림, 계란 흰자",,차가운 바나나의 맛을 칵테일로 만들었다.,0,,
그라스호퍼,"단맛, 상쾌한맛",단맛,15,#677864,liqueur,"페퍼민트 그린, 크림 드 카카오 화이트, 생크림",,의외로 깨끗한 식후주의 칵테일.,0,,
글래드 아이,"단맛, 상쾌한맛",단맛,22,#a8bc78,liqueur,"페르노, 크림 드 민트 그린",,녹색의 요정을 연상케 하는 아름다운 칵테일.,0,,
골든 캐딜락,"단맛, 부드러운맛",단맛,18,#ac9c7b,liqueur,"갈리아노, 크림 드 카카오 화이트, 생크림",,부자 기분으로 만드는 부드러운 맛.,0,,
삼부카 콘 모스카,단맛,단맛,38,#322955,liqueur,삼브카,,이탈리아 요리를 먹은 후 입가심으로 한잔.,0,,
스위트 하트,"단맛, 부드러운맛",단맛,15,#be970d,liqueur,"파르페타무르, 디사론노 아마렛토, 바닐라 시럽, 플레시 크림, 레드 큐라소",,제비꽃 향이 나는 엷은 보라색의 분위기 좋은 리큐르를 사용.,0,,
골든 드림,"감칠맛, 단맛",단맛,16,#ac9c7b,liqueur,"갈리아노, 화이트 큐라소, 오렌지 주스, 생크림",,감칠맛도 부드러워서 잘 때 마시는 술로 적합하다.,1,,
스위세스,"단맛, 상쾌한맛",단맛,26,#bd9900,liqueur,"페르노, 아니세트, 크림 드 민트 화이트, 계란 흰자, 오렌지 플라워 워터",,달콤함 가운데 민트의 상쾌함.,1,,
스노 사로노,"부드러운맛, 단맛",단맛,21,#9c6632,liqueur,"디사론노 아마렛토, 생크림",,아몬드 프레이버의 우아한 맛.,0,,
스노볼,"단맛, 상쾌한맛",단맛,4,#b89623,liqueur,"아드보카트, 라임 주스, 레모네이드 또는 세븐 업",,마시면 혀끝이 상쾌해지는 칵테일.,1,,
스프모니,"신맛, 단맛",중간 맛,5,#a7632c,liqueur,"캄파리, 그레이프 프루트 주스, 토닉 워터",,과일 주스처럼 가볍게 즐길 수 있는 칵테일.,1,,
슬리퍼리 니플,"단맛, 쓴맛, 부드러운맛",중간 맛,18,#b9b3ac,liqueur,"페이리즈 아이리시 크림, 블랙 삼브카",,"직역하면 매끈한 젖꼭지로, 어른 취향의 맛.",0,,
슬로 진 피즈,"신맛, 단맛",중간 맛,14,#cd742a,liqueur,"슬로 진, 레몬 주스, 설탕 시럽, 소다수",,여성들이 즐기는 우아한 칵테일.,1,,
체리 블로섬,신맛,중간 맛,28,#9d422d,liqueur,"체리 브랜디, 브랜디, 레몬 주스, 그레나덴 시럽, 큐라소",,일본산으로 세계적으로 유명한 칵테일.,1,,
찰리 채플린,단맛,단맛,26,#974d01,liqueur,"아프리콧 브랜디, 슬로진, 레몬 주스",,희극 왕 채플린의 이름을 딴 달콤한 향의 칵테일.,1,,
토마토,쓴맛,중간 맛,15,#a87d02,liqueur,"파스티스, 그레나덴 시럽",,향료 콜린스의 맛을 물로 희석하여 즐긴다.,0,,
나이트폴,신맛,중간 맛,6,#414e98,liqueur,"마리브리잘 파르페타무르, 찰스턴 망고스틴, 그레이프 프루트 주스, 크림 드 민트 화이트, 토닉 워터",,해가 저물 때의 우울한 한때에.,1,,
하버드 쿨러,신맛,중간 맛,12,#bdb79f,liqueur,"애플 브랜디, 레몬 주스, 설탕 시럽, 소다수",,시원한 느낌으로 보이게 하는 것이 비결.,1,,
펄 브리지,신맛,중간 맛,12,#8f4326,liqueur,"체리 마니에, 플레시 라임 주스, 그레나덴 시럽",,체리가 지닌 맛을 살린 상쾌한 칵테일.,1,,
바나나 브리스,단맛,단맛,26,#98614f,liqueur,"크림 드 바나누, 브랜디",,바나나의 맛과 브랜디의 향의 조화.,0,,
바이올렛 피즈,"신맛, 감칠맛",중간 맛,6,#9c895c,liqueur,"파르페타무르, 레몬 주스, 검 시럽, 소다수",,상큼하고 감칠맛이 좋아서 여성에게 딱 어울리는 칵테일.,1,,
파파게나,"초콜릿맛, 단맛, 부드러운맛",단맛,15,#ac9056,liqueur,"모차르트 초콜릿 리큐르, 브랜디, 생크림",,모차르트와 관련된 이름.,0,,
발렌시아,"단맛, 신맛",단맛,14,#b88825,liqueur,"아프리콧 브랜디, 오렌지 주스, 오렌지 비터",,심오한 달콤한 향과 과자와 같은 맛.,1,,
피콘 앤드 그레나덴,"쓴맛, 단맛",중간 맛,8,#85572c,liqueur,"아메르 피콘, 그레나덴 시럽, 소다수",,쓴맛이 나는 주드러운 드링크.,0,,
핑크 스콰렐,"단맛, 감칠맛, 부드러운맛",단맛,16,#9f9087,liqueur,"크림 드 노와요, 크림 드 카카오 화이트, 생크림",,아몬드 향이 나는 매혹적인 달콤함 칵테일.,0,,
핑퐁,단맛,단맛,21,#422716,liqueur,"슬로진, 크림 드 바이올렛, 레몬 주스",,대표적인 단맛의 애프터 디너 칵테일.,1,,
푸스 카페,쓴맛,쓴맛,28,#7c5d24,liqueur,"그레나덴 시럽, 멜론 리큐르, 화이트 페퍼민트, 블루 큐라소, 샤르트뢰즈 옐로, 브랜디",,다채로운 리큐르를 눈으로 즐기는 칵테일.,0,,
페어리랜드,단맛,단맛,35,#9e8355,liqueur,"크림 드 그랑 마니에, 헤네시 VSOP, 그랑 마니에 골든 루주, 카루아, 루시 초콜릿 시럽",,응축된 오렌지와 농후하고 부드러운 브랜디 맛의 칵테일.,0,,
블루 레이디,"부드러운맛, 단맛",중간 맛,17,#256eaf,liqueur,"블루 큐라소, 드라이 진, 레몬 주스, 계란 흰자",,결이 고운 계란 흰자의 거품이 부드러운 맛이 된다.,1,,
프렐류드 피즈,"단맛, 쓴맛",중간 맛,6,#a8744f,liqueur,"캄파리 비터, 칼피스, 레몬 주스, 소다수",,일본의 칼피스를 사용한 창작 칵테일.,1,,
벨벳 해머,"커피맛, 단맛, 부드러운맛",단맛,18,#816f47,liqueur,"화이트 큐라소, 티아 마리아, 생크림",,향이 진한 커피 맛의 식후주로서 적당.,0,,
페로케,"상쾌한맛, 신맛",중간 맛,12,#b99d2a,liqueur,"파스티스, 민트 시럽",,오이의 상큼한 냄새가 위장을 건강하게 해 줄 것 같다.,0,,
화이트 사틴,"부드러운맛, 감칠맛, 단맛",단맛,17,#917d65,liqueur,"커피 리큐르, 갈리아노, 생크림",,생크림 가득한 커피 칵테일.,0,,
민트 프라페,"상쾌한맛, 단맛",단맛,17,#185414,liqueur,페퍼민트 그린,,민트 향 가득한 시원한 칵테일.,0,,
메리 위도 No 2,단맛,단맛,23,#7a2213,liqueur,"체리 브랜디, 마라스키노",,스터로 만드는 리큐르 칵테일.,0,,
모레스크,부드러운맛,중간 맛,12,#d0b048,liqueur,"파스티스, 아몬드 시럽",,알코올이 강한 리큐르를 아몬드 향으로 마시기 부드럽게.,0,,
야파,신맛,중간 맛,18,#6c3e12,liqueur,"코안트로, 크림 드 민트 그린, 콜라",,오렌지 맛의 화려한 칵테일.,1,,
라포스토르 판타지,"부드러운맛, 단맛",중간 맛,28,#856130,liqueur,"그랑 마니에 골든 루주, 크림 드 카시스, 플레시 크림",,그랑 마니에의 제조원 라포스토르를 칵테일 이름으로.,0,,
루비 피즈,신맛,중간 맛,8,#9b6d38,liqueur,"슬로 진, 레몬 주스, 설탕 시럽, 그레나덴 시럽, 계란 흰자, 소다수",,보석인 루비를 이미지한 아름다운 색조.,1,,
레트 버틀러,"신맛, 단맛",단맛,26,#d0b33d,liqueur,"서던 컴포트, 오렌지 큐라소, 라임 주스, 레몬 주스",,감귤류가 듬뿍 함유된 달콤한 버번 풍의 칵테일.,1,,
아이 오브 더 허리케인,"신맛, 단맛",단맛,0,#b29b8d,non-alcoholic,"패션 프루트 시럽, 플레시 라임 주스, 레몬 소다수",,새콤달콤함을 지닌 산뜻한 맛.,1,,
애플 프레즐,신맛,중간 맛,0,#a0958f,non-alcoholic,"사과 주스, 설탕 시럽, 플레시 레몬 주스, 소다수",,레몬과 사과 맛이 나는 단맛을 억제한 드링크.,1,,
인코럽티블 샴페인,신맛,중간 맛,0,#cc942a,non-alcoholic,"그레이프 프루트 주스, 오렌지 주스, 레몬 소다수",,샴페인 베이스의 미노사와 비슷한 맛을 지닌다.,1,,
에그지트 12-E,"신맛, 단맛",단맛,0,#b55440,non-alcoholic,"로간베리 주스, 파인애플 주스, 플레시 라임 주스",,신선한 향. 새콤달콤하고 맛있는 드링크.,1,,
에그 크림,"신맛, 쓴맛",단맛,0,#a07c55,non-alcoholic,"초콜릿 시럽, 우유, 소다수",,우유의 농후함을 묽게 한 깨끗한 맛.,0,,
엔젤 스페셜,"초콜릿맛, 단맛, 부드러운맛",중간 맛,0,#a27b5b,non-alcoholic,"오렌지 주스, 그레나덴 시럽, 계란 노른자, 앙고스트라 비터",,"겉보기에는 샤베트와 같고, 맛은 쌉쌀하고 진하다.",1,,
카메하메하 펀치,"신맛, 단맛",단맛,0,#ae702f,non-alcoholic,"파인애플 주스, 아몬드 시럽, 플레시 라임 주스, 플레시 레몬 주스, 블랙베리 시럽",,하와이의 왕 이름을 딴 열대풍 드링크.,1,,
